time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3.9,333.33,3,250,0,-0.12195,0
60,3.9,326.07,3,244.55,0,-0.12022,0
120,3.9,318.91,3,239.18,0,-0.1185,0
180,3.9,311.85,3,233.89,0,-0.1168,0
240,3.9,304.89,3,228.67,0,-0.1151,0
300,3.9,298.04,3,223.53,0,-0.1134,0
360,3.9,291.28,3,218.46,0,-0.1117,0
420,3.9,284.63,3,213.47,0,-0.10999,0
480,3.9,278.08,3,208.56,0,-0.10826,0
540,3.9,271.64,3,203.73,0,-0.10652,0
600,3.9,265.3,3,198.98,0,-0.10476,0
660,3.9,259.07,3,194.3,0,-0.10298,0
720,3.9,252.95,3,189.71,0,-0.10118,0
780,3.9,246.93,3,185.2,0,-0.099348,0
840,3.9,241.03,3,180.77,0,-0.097496,0
900,3.9,235.23,3,176.42,0,-0.09562,0
960,3.9,229.55,3,172.16,0,-0.093719,0
1020,3.9,223.99,3,167.99,0,-0.091795,0
1080,3.9,218.54,3,163.9,0,-0.089848,0
1140,3.9,213.2,3,159.9,0,-0.08788,0
1200,3.9,207.99,3,155.99,0,-0.085894,0
1260,3.9,202.9,3,152.17,0,-0.083889,0
1320,3.9,197.92,3,148.44,0,-0.08187,0
1380,3.9,193.07,3,144.8,0,-0.079839,0
1440,3.9,188.34,3,141.26,0,-0.077798,0
1500,3.9,183.74,3,137.8,0,-0.075751,0
1560,3.9,179.25,3,134.44,0,-0.073699,0
1620,3.9,174.89,3,131.17,0,-0.071648,0
1680,3.9,170.66,3,127.99,0,-0.069599,0
1740,3.9,166.54,3,124.91,0,-0.067556,0
1800,3.9,162.55,3,121.91,0,-0.065521,0
1860,3.9,158.68,3,119.01,0,-0.0635,0
1920,3.9,154.93,3,116.2,0,-0.061493,0
1980,3.9,151.3,3,113.47,0,-0.059505,0
2040,3.8989,147.78,3,110.84,0,-0.057624,0
2100,3.8973,144.38,3,108.29,0,-0.055797,0
2160,3.8957,141.09,3,105.82,0,-0.05399,0
