time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3.5,333.33,4,250,1.0517,-0.16202,-1.1312
10,3.5001,331.72,4.0015,248.79,1.0496,-0.16157,-1.1298
20,3.5002,330.1,4.0029,247.58,1.0475,-0.16112,-1.1284
30,3.5003,328.49,4.0044,246.37,1.0455,-0.16067,-1.127
40,3.5004,326.89,4.0058,245.17,1.0434,-0.16022,-1.1256
50,3.5005,325.29,4.0073,243.97,1.0414,-0.15977,-1.1242
60,3.5006,323.69,4.0087,242.77,1.0394,-0.15932,-1.1228
70,3.5007,322.1,4.0102,241.58,1.0373,-0.15887,-1.1214
80,3.5008,320.52,4.0116,240.39,1.0353,-0.15842,-1.1201
90,3.5009,318.93,4.0131,239.2,1.0333,-0.15797,-1.1187
100,3.501,317.36,4.0145,238.02,1.0312,-0.15753,-1.1173
110,3.501,315.78,4.016,236.84,1.0292,-0.15708,-1.1159
120,3.5011,314.21,4.0174,235.66,1.0272,-0.15663,-1.1145
130,3.5012,312.65,4.0189,234.49,1.0251,-0.15619,-1.1132
140,3.5013,311.09,4.0203,233.32,1.0231,-0.15574,-1.1118
150,3.5014,309.54,4.0218,232.15,1.0211,-0.1553,-1.1104
160,3.5015,307.99,4.0232,230.99,1.0191,-0.15485,-1.1091
170,3.5016,306.44,4.0247,229.83,1.0171,-0.1544,-1.1077
180,3.5017,304.9,4.0261,228.67,1.0151,-0.15396,-1.1064
190,3.5018,303.36,4.0276,227.52,1.0131,-0.15351,-1.105
200,3.5019,301.83,4.029,226.37,1.011,-0.15307,-1.1037
210,3.502,300.3,4.0305,225.22,1.009,-0.15262,-1.1023
220,3.5021,298.77,4.0319,224.08,1.007,-0.15218,-1.101
230,3.5022,297.25,4.0334,222.94,1.005,-0.15173,-1.0997
240,3.5023,295.74,4.0348,221.8,1.003,-0.15128,-1.0983
250,3.5024,294.23,4.0363,220.67,1.001,-0.15084,-1.097
260,3.5025,292.72,4.0377,219.54,0.99902,-0.15039,-1.0957
270,3.5026,291.22,4.0392,218.42,0.99702,-0.14994,-1.0944
280,3.5027,289.72,4.0406,217.29,0.99503,-0.14949,-1.0931
290,3.5028,288.23,4.0421,216.17,0.99303,-0.14904,-1.0918
300,3.5029,286.74,4.0435,215.06,0.99103,-0.14859,-1.0905
310,3.5029,285.26,4.045,213.94,0.98904,-0.14814,-1.0892
320,3.503,283.78,4.0464,212.84,0.98705,-0.14769,-1.088
330,3.5031,282.31,4.0479,211.73,0.98505,-0.14724,-1.0867
340,3.5032,280.84,4.0493,210.63,0.98306,-0.14678,-1.0854
350,3.5033,279.37,4.0508,209.53,0.98107,-0.14633,-1.0842
360,3.5034,277.91,4.0522,208.43,0.97908,-0.14587,-1.0829
370,3.5035,276.45,4.0537,207.34,0.9771,-0.14542,-1.0817
380,3.5036,275,4.0551,206.25,0.97511,-0.14496,-1.0804
390,3.5037,273.55,4.0566,205.17,0.97312,-0.1445,-1.0792
400,3.5038,272.11,4.058,204.08,0.97113,-0.14405,-1.078
410,3.5039,270.67,4.0595,203,0.96915,-0.14359,-1.0768
420,3.504,269.24,4.0609,201.93,0.96716,-0.14312,-1.0756
430,3.5041,267.81,4.0624,200.86,0.96518,-0.14266,-1.0744
440,3.5042,266.39,4.0638,199.79,0.9632,-0.1422,-1.0732
450,3.5043,264.97,4.0653,198.72,0.96121,-0.14173,-1.072
460,3.5044,263.55,4.0667,197.66,0.95923,-0.14127,-1.0709
470,3.5045,262.14,4.0682,196.61,0.95725,-0.1408,-1.0697
480,3.5046,260.74,4.0696,195.55,0.95527,-0.14033,-1.0685
490,3.5047,259.33,4.0711,194.5,0.95329,-0.13986,-1.0674
500,3.5048,257.94,4.0725,193.45,0.95131,-0.13939,-1.0663
510,3.5048,256.55,4.074,192.41,0.94933,-0.13892,-1.0651
520,3.5049,255.16,4.0754,191.37,0.94735,-0.13845,-1.064
530,3.505,253.78,4.0769,190.33,0.94538,-0.13797,-1.0629
540,3.5051,252.4,4.0783,189.3,0.9434,-0.1375,-1.0618
550,3.5052,251.03,4.0798,188.27,0.94142,-0.13702,-1.0607
560,3.5053,249.66,4.0812,187.24,0.93945,-0.13654,-1.0597
570,3.5054,248.3,4.0827,186.22,0.93747,-0.13606,-1.0586
580,3.5055,246.94,4.0841,185.2,0.9355,-0.13558,-1.0575
590,3.5056,245.59,4.0856,184.19,0.93353,-0.1351,-1.0565
600,3.5057,244.24,4.087,183.18,0.93155,-0.13461,-1.0554
610,3.5058,242.89,4.0885,182.17,0.92958,-0.13412,-1.0544
620,3.5059,241.55,4.0899,181.17,0.92761,-0.13364,-1.0534
630,3.506,240.22,4.0914,180.17,0.92564,-0.13315,-1.0524
640,3.5061,238.89,4.0928,179.17,0.92367,-0.13266,-1.0514
650,3.5062,237.57,4.0943,178.18,0.9217,-0.13217,-1.0504
660,3.5063,236.25,4.0957,177.19,0.91973,-0.13167,-1.0494
670,3.5064,234.93,4.0972,176.2,0.91776,-0.13118,-1.0485
680,3.5065,233.62,4.0986,175.22,0.9158,-0.13068,-1.0475
690,3.5066,232.32,4.1001,174.24,0.91383,-0.13018,-1.0466
700,3.5067,231.02,4.1015,173.27,0.91186,-0.12968,-1.0456
710,3.5067,229.73,4.103,172.29,0.9099,-0.12918,-1.0447
720,3.5068,228.44,4.1044,171.33,0.90794,-0.12868,-1.0438
730,3.5069,227.15,4.1059,170.36,0.90597,-0.12818,-1.0429
740,3.507,225.87,4.1073,169.4,0.90401,-0.12767,-1.042
