time,glc_pp,lac_pp,glc,lac,gly,gly_vol,f_glc_pp,f_lac_pp,f_glc,f_lac,f_gly
0,5,3,5,3,357.14,250,0,0,0.88591,-0.97796,-0.11341
60,4.9967,3,6.0612,0.87598,357.01,249.91,0,0,-2.3531e-05,-2.0209e-05,-0.00022033
120,4.9935,3,6.0598,0.87477,357,249.9,0,0,-2.3605e-05,-2.0114e-05,-0.00033669
180,4.9902,3,6.0584,0.87357,356.97,249.88,0,0,-2.3678e-05,-2.0021e-05,-0.0004529
240,4.9869,3,6.057,0.87237,356.94,249.86,0,0,-2.3752e-05,-1.9928e-05,-0.00056897
300,4.9837,3,6.0555,0.87118,356.9,249.83,0,0,-2.3828e-05,-1.9834e-05,-0.00068488
360,4.9804,3,6.0541,0.86999,356.86,249.8,0,0,-2.3879e-05,-1.9766e-05,-0.00080064
420,4.9772,3,6.0527,0.86881,356.81,249.77,0,0,-2.3926e-05,-1.9706e-05,-0.00091626
480,4.9739,3,6.0512,0.86763,356.75,249.73,0,0,-2.3985e-05,-1.9639e-05,-0.0010317
540,4.9706,3,6.0498,0.86646,356.69,249.68,0,0,-2.4066e-05,-1.9554e-05,-0.001147
600,4.9674,3,6.0483,0.8653,356.61,249.63,0,0,-2.4179e-05,-1.9443e-05,-0.0012622
660,4.9641,3,6.0469,0.86414,356.53,249.57,0,0,-2.4254e-05,-1.9366e-05,-0.0013772
720,4.9608,3,6.0454,0.86298,356.45,249.51,0,0,-2.4293e-05,-1.932e-05,-0.001492
780,4.9576,3,6.0439,0.86184,356.35,249.45,0,0,-2.4349e-05,-1.9256e-05,-0.0016067
840,4.9543,3,6.0425,0.86069,356.25,249.38,0,0,-2.4434e-05,-1.9166e-05,-0.0017213
900,4.951,3,6.041,0.85956,356.15,249.3,0,0,-2.4558e-05,-1.9038e-05,-0.0018356
960,4.9478,3,6.0395,0.85843,356.03,249.22,0,0,-2.4659e-05,-1.893e-05,-0.0019499
1020,4.9445,3,6.038,0.8573,355.91,249.14,0,0,-2.4693e-05,-1.8884e-05,-0.002064
1080,4.9413,3,6.0366,0.85618,355.79,249.05,0,0,-2.4743e-05,-1.882e-05,-0.0021779
1140,4.938,3,6.0351,0.85507,355.65,248.96,0,0,-2.4819e-05,-1.8728e-05,-0.0022917
1200,4.9347,3,6.0336,0.85396,355.51,248.86,0,0,-2.4934e-05,-1.8594e-05,-0.0024053
1260,4.9315,3,6.0321,0.85286,355.36,248.76,0,0,-2.5051e-05,-1.8459e-05,-0.0025187
1320,4.9282,3,6.0306,0.85176,355.21,248.65,0,0,-2.508e-05,-1.8414e-05,-0.002632
1380,4.9249,3,6.0291,0.85067,355.05,248.53,0,0,-2.5124e-05,-1.8352e-05,-0.0027452
