time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,5,333.33,3,250,1.6294,-0.0873,-2.735
60,4.9967,328.14,3,246.11,1.6208,-0.085703,-2.7274
120,4.9935,323.05,3,242.29,1.6124,-0.084147,-2.7199
180,4.9902,318.05,3,238.53,1.6041,-0.082624,-2.7125
240,4.9869,313.13,3,234.85,1.5959,-0.081125,-2.705
300,4.9837,308.31,3,231.23,1.5878,-0.079645,-2.6977
360,4.9804,303.58,3,227.68,1.5798,-0.078178,-2.6905
420,4.9772,298.93,3,224.2,1.5718,-0.076718,-2.6834
480,4.9739,294.37,3,220.78,1.564,-0.075261,-2.6764
540,4.9706,289.9,3,217.42,1.5562,-0.073804,-2.6696
600,4.9674,285.51,3,214.13,1.5485,-0.072344,-2.663
660,4.9641,281.22,3,210.91,1.5409,-0.070879,-2.6566
720,4.9608,277.01,3,207.76,1.5334,-0.069407,-2.6503
780,4.9576,272.89,3,204.67,1.5259,-0.067927,-2.6443
840,4.9543,268.86,3,201.64,1.5186,-0.066439,-2.6385
900,4.951,264.91,3,198.69,1.5113,-0.064943,-2.6329
960,4.9478,261.06,3,195.8,1.5041,-0.063438,-2.6276
1020,4.9445,257.3,3,192.98,1.497,-0.061927,-2.6225
1080,4.9413,253.63,3,190.22,1.49,-0.06041,-2.6176
1140,4.938,250.05,3,187.54,1.4832,-0.058888,-2.613
1200,4.9347,246.56,3,184.92,1.4764,-0.057364,-2.6086
1260,4.9315,243.17,3,182.38,1.4698,-0.05584,-2.6045
1320,4.9282,239.86,3,179.9,1.4633,-0.054317,-2.6006
1380,4.9249,236.65,3,177.49,1.4569,-0.052798,-2.597
1440,4.9217,233.53,3,175.15,1.4507,-0.051285,-2.5936
1500,4.9184,230.5,3,172.87,1.4446,-0.049781,-2.5904
1560,4.9152,227.55,3,170.67,1.4386,-0.048289,-2.5875
1620,4.9119,224.7,3,168.53,1.4328,-0.046811,-2.5848
1680,4.9086,221.94,3,166.45,1.4272,-0.04535,-2.5823
1740,4.9054,219.26,3,164.44,1.4218,-0.043907,-2.5801
1800,4.9021,216.67,3,162.5,1.4165,-0.042486,-2.578
1860,4.8988,214.16,3,160.62,1.4114,-0.041088,-2.5762
1920,4.8956,211.74,3,158.8,1.4064,-0.039716,-2.5745
1980,4.8923,209.39,3,157.05,1.4016,-0.038372,-2.573
2040,4.8896,207.13,3,155.35,1.3966,-0.036953,-2.5715
2100,4.8871,204.96,3,153.72,1.3916,-0.035531,-2.57
2160,4.8846,202.87,3,152.15,1.3868,-0.034149,-2.5686
2220,4.882,200.86,3,150.64,1.3822,-0.032809,-2.5675
2280,4.8795,198.93,3,149.2,1.3778,-0.031511,-2.5664
2340,4.877,197.08,3,147.81,1.3736,-0.030257,-2.5656
2400,4.8745,195.3,3,146.47,1.3696,-0.029046,-2.5648
2460,4.872,193.59,3,145.19,1.3657,-0.027878,-2.5642
2520,4.8695,191.95,3,143.96,1.3621,-0.026755,-2.5637
2580,4.867,190.38,3,142.78,1.3587,-0.025674,-2.5634
2640,4.8644,188.87,3,141.65,1.3555,-0.024638,-2.5631
2700,4.8619,187.42,3,140.57,1.3524,-0.023643,-2.5629
2760,4.8594,186.03,3,139.52,1.3495,-0.022691,-2.5628
2820,4.8569,184.7,3,138.52,1.3468,-0.021781,-2.5628
2880,4.8544,183.42,3,137.56,1.3442,-0.020911,-2.5629
2940,4.8519,182.19,3,136.64,1.3418,-0.020081,-2.5631
3000,4.8494,181.01,3,135.76,1.3395,-0.01929,-2.5633
3060,4.8468,179.87,3,134.91,1.3374,-0.018536,-2.5636
3120,4.8443,178.78,3,134.09,1.3354,-0.017818,-2.5639
3180,4.8418,177.74,3,133.3,1.3336,-0.017136,-2.5643
3240,4.8393,176.73,3,132.54,1.3318,-0.016488,-2.5648
3300,4.8368,175.76,3,131.82,1.3302,-0.015873,-2.5653
3360,4.8343,174.82,3,131.12,1.3288,-0.01529,-2.5658
3420,4.8318,173.92,3,130.44,1.3274,-0.014737,-2.5664
3480,4.8292,173.05,3,129.79,1.3261,-0.014214,-2.567
3540,4.8267,172.21,3,129.16,1.325,-0.013718,-2.5677
3600,4.8242,171.41,3,128.55,1.3239,-0.01325,-2.5683
3660,4.8217,170.62,3,127.97,1.3229,-0.012806,-2.5691
3720,4.8192,169.87,3,127.4,1.3221,-0.012387,-2.5698
3780,4.8167,169.14,3,126.85,1.3213,-0.011992,-2.5706
3840,4.8142,168.43,3,126.32,1.3205,-0.011619,-2.5714
3900,4.83,167.77,3,125.83,1.305,-0.0078287,-2.5631
3960,4.8925,167.66,3,125.75,1.2537,0.00399,-2.5314
4020,4.955,168.23,3,126.17,1.2052,0.014828,-2.4994
4080,5.0175,169.42,3,127.07,1.159,0.024799,-2.4668
4140,5.08,171.19,3,128.39,1.1149,0.034011,-2.4338
4200,5.1425,173.49,3,130.12,1.0724,0.042569,-2.4003
4260,5.2049,176.29,3,132.22,1.0315,0.050569,-2.3664
4320,5.2674,179.55,3,134.66,0.99171,0.058105,-2.332
4380,5.3299,183.25,3,137.44,0.95291,0.065258,-2.2974
4440,5.3924,187.38,3,140.53,0.91488,0.072106,-2.2624
4500,5.4549,191.9,3,143.93,0.87742,0.078721,-2.2272
4560,5.5174,196.82,3,147.62,0.84037,0.085167,-2.1917
4620,5.5799,202.12,3,151.59,0.80358,0.091503,-2.1562
4680,5.6424,207.8,3,155.85,0.7669,0.097783,-2.1205
4740,5.7048,213.85,3,160.39,0.73022,0.10406,-2.0848
4800,5.7673,220.29,3,165.22,0.69341,0.11037,-2.049
4860,5.8298,227.1,3,170.32,0.65637,0.11675,-2.0133
4920,5.8923,234.3,3,175.72,0.61901,0.12325,-1.9775
4980,5.9548,241.89,3,181.42,0.58125,0.12989,-1.9418
5040,6.0173,249.89,3,187.42,0.54299,0.1367,-1.9062
5100,6.0798,258.3,3,193.73,0.50417,0.14369,-1.8705
5160,6.1423,267.14,3,200.35,0.46473,0.15088,-1.8348
5220,6.2047,276.41,3,207.31,0.42463,0.15827,-1.7989
5280,6.2672,286.13,3,214.6,0.38382,0.16585,-1.7627
5340,6.3297,296.32,3,222.24,0.34228,0.1736,-1.7262
5400,6.3922,306.97,3,230.23,0.30002,0.18148,-1.6889
5460,6.4547,318.09,3,238.57,0.25705,0.18945,-1.6508
5520,6.5172,329.7,3,247.28,0.21341,0.19742,-1.6113
5580,6.5797,341.78,3,256.34,0.16919,0.2053,-1.5702
5640,6.6422,354.33,3,265.75,0.12449,0.21297,-1.5268
5700,6.7046,367.33,3,275.5,0.07947,0.22029,-1.4807
5760,6.7671,380.76,3,285.57,0.034303,0.22707,-1.431
5820,6.8296,394.57,3,295.93,-0.010884,0.23316,-1.3772
5880,6.8921,408.72,3,306.54,-0.056053,0.23841,-1.3184
5940,6.9385,423.14,3,317.35,-0.085447,0.24005,-1.2694
6000,6.9187,437.26,3,327.94,-0.051307,0.23039,-1.2797
6060,6.8989,450.76,3,338.07,-0.01577,0.21955,-1.2858
6120,6.8791,463.58,3,347.69,0.020829,0.20772,-1.288
6180,6.8594,475.67,3,356.75,0.058318,0.19502,-1.2868
6240,6.8396,486.97,3,365.23,0.09657,0.18162,-1.2829
6300,6.8198,497.46,3,373.09,0.13527,0.16774,-1.277
6360,6.8,507.1,3,380.32,0.17409,0.15361,-1.2698
6420,6.7802,515.89,3,386.92,0.2127,0.13946,-1.2622
6480,6.7604,523.84,3,392.88,0.25078,0.12552,-1.2547
