time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,5,333.33,3,250,0.54313,-0.0291,-0.91166
10,4.9995,333.04,3,249.78,0.54309,-0.029097,-0.91159
20,4.9989,332.75,3,249.56,0.54304,-0.029094,-0.91152
30,4.9984,332.46,3,249.35,0.543,-0.029091,-0.91146
40,4.9978,332.17,3,249.13,0.54296,-0.029088,-0.91139
50,4.9973,331.88,3,248.91,0.54291,-0.029085,-0.91132
60,4.9967,331.59,3,248.69,0.54287,-0.029082,-0.91125
70,4.9962,331.3,3,248.47,0.54283,-0.029079,-0.91118
80,4.9956,331.01,3,248.25,0.54278,-0.029076,-0.91111
90,4.9951,330.72,3,248.04,0.54274,-0.029073,-0.91104
100,4.9946,330.42,3,247.82,0.5427,-0.02907,-0.91097
110,4.994,330.13,3,247.6,0.54265,-0.029067,-0.9109
120,4.9935,329.84,3,247.38,0.54261,-0.029064,-0.91083
130,4.9929,329.55,3,247.16,0.54257,-0.029061,-0.91076
140,4.9924,329.26,3,246.95,0.54252,-0.029058,-0.91069
150,4.9918,328.97,3,246.73,0.54248,-0.029055,-0.91062
160,4.9913,328.68,3,246.51,0.54243,-0.029052,-0.91055
170,4.9908,328.39,3,246.29,0.54239,-0.029049,-0.91048
180,4.9902,328.1,3,246.08,0.54234,-0.029046,-0.91041
190,4.9897,327.81,3,245.86,0.5423,-0.029043,-0.91034
200,4.9891,327.52,3,245.64,0.54225,-0.02904,-0.91027
210,4.9886,327.23,3,245.42,0.54221,-0.029037,-0.91019
220,4.988,326.94,3,245.2,0.54216,-0.029034,-0.91012
230,4.9875,326.65,3,244.99,0.54212,-0.029031,-0.91005
240,4.9869,326.36,3,244.77,0.54207,-0.029028,-0.90998
250,4.9864,326.07,3,244.55,0.54203,-0.029025,-0.9099
260,4.9859,325.78,3,244.33,0.54198,-0.029022,-0.90983
270,4.9853,325.49,3,244.12,0.54194,-0.029019,-0.90976
280,4.9848,325.2,3,243.9,0.54189,-0.029016,-0.90969
290,4.9842,324.91,3,243.68,0.54184,-0.029012,-0.90961
300,4.9837,324.62,3,243.46,0.5418,-0.029009,-0.90954
310,4.9831,324.33,3,243.25,0.54175,-0.029006,-0.90946
320,4.9826,324.04,3,243.03,0.5417,-0.029003,-0.90939
330,4.9821,323.75,3,242.81,0.54166,-0.029,-0.90932
340,4.9815,323.46,3,242.59,0.54161,-0.028996,-0.90924
350,4.981,323.17,3,242.38,0.54156,-0.028993,-0.90917
360,4.9804,322.88,3,242.16,0.54152,-0.02899,-0.90909
370,4.9799,322.59,3,241.94,0.54147,-0.028987,-0.90902
380,4.9793,322.3,3,241.72,0.54142,-0.028983,-0.90894
390,4.9788,322.01,3,241.51,0.54137,-0.02898,-0.90887
400,4.9782,321.72,3,241.29,0.54133,-0.028977,-0.90879
410,4.9777,321.43,3,241.07,0.54128,-0.028973,-0.90872
420,4.9772,321.14,3,240.85,0.54123,-0.02897,-0.90864
430,4.9766,320.85,3,240.64,0.54118,-0.028967,-0.90857
440,4.9761,320.56,3,240.42,0.54114,-0.028963,-0.90849
450,4.9755,320.27,3,240.2,0.54109,-0.02896,-0.90841
460,4.975,319.98,3,239.98,0.54104,-0.028956,-0.90834
470,4.9744,319.69,3,239.77,0.54099,-0.028953,-0.90826
480,4.9739,319.4,3,239.55,0.54094,-0.02895,-0.90818
490,4.9733,319.11,3,239.33,0.54089,-0.028946,-0.90811
500,4.9728,318.82,3,239.12,0.54084,-0.028942,-0.90803
510,4.9723,318.53,3,238.9,0.54079,-0.028939,-0.90795
520,4.9717,318.24,3,238.68,0.54074,-0.028935,-0.90788
530,4.9712,317.95,3,238.47,0.54069,-0.028932,-0.9078
540,4.9706,317.66,3,238.25,0.54065,-0.028928,-0.90772
550,4.9701,317.37,3,238.03,0.5406,-0.028924,-0.90764
560,4.9695,317.09,3,237.81,0.54055,-0.028921,-0.90757
570,4.969,316.8,3,237.6,0.5405,-0.028917,-0.90749
580,4.9685,316.51,3,237.38,0.54045,-0.028913,-0.90741
590,4.9679,316.22,3,237.16,0.54039,-0.02891,-0.90733
600,4.9674,315.93,3,236.95,0.54034,-0.028906,-0.90725
610,4.9668,315.64,3,236.73,0.54029,-0.028902,-0.90717
620,4.9663,315.35,3,236.51,0.54024,-0.028898,-0.9071
