time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3.9,357.14,3,250,68.172,-7.8399,-81.465
60,3.9,97.942,3,68.56,41.103,-1.2462,-73.483
120,3.9,74.548,3,52.184,37.401,-0.053648,-74.427
180,3.9,73.599,3,51.519,37.244,-0.0020538,-74.475
240,3.9,73.563,3,51.494,37.238,-7.8914e-05,-74.476
300,3.9,73.561,3,51.493,37.238,-3.2997e-06,-74.477
360,3.9,73.561,3,51.493,37.238,1.7069e-06,-74.477
420,3.9,73.561,3,51.493,37.238,-1.5148e-06,-74.477
480,3.9,73.561,3,51.493,37.238,1.1106e-06,-74.477
540,3.9,73.561,3,51.493,37.238,-1.3392e-06,-74.477
600,3.9,73.561,3,51.493,37.238,-1.9792e-07,-74.477
660,3.9,73.561,3,51.493,37.238,-3.4722e-09,-74.477
720,3.9,73.561,3,51.493,37.238,6.774e-09,-74.477
780,3.9,73.561,3,51.493,37.238,-3.5285e-09,-74.477
840,3.9,73.561,3,51.493,37.238,-3.0087e-09,-74.477
900,3.9,73.561,3,51.493,37.238,-2.6699e-09,-74.477
960,3.9,73.561,3,51.493,37.238,-2.3311e-09,-74.477
1020,3.9,73.561,3,51.493,37.238,-1.9923e-09,-74.477
1080,3.9,73.561,3,51.493,37.238,-1.6536e-09,-74.477
1140,3.9,73.561,3,51.493,37.238,-1.3148e-09,-74.477
1200,3.9,73.561,3,51.493,37.238,-9.7599e-10,-74.477
1260,3.9,73.561,3,51.493,37.238,-6.372e-10,-74.477
1320,3.9,73.561,3,51.493,37.238,-2.9842e-10,-74.477
1380,3.9,73.561,3,51.493,37.238,-1.6198e-10,-74.477
1440,3.9,73.561,3,51.493,37.238,-1.4074e-10,-74.477
1500,3.9,73.561,3,51.493,37.238,-1.1949e-10,-74.477
1560,3.9,73.561,3,51.493,37.238,-9.8248e-11,-74.477
1620,3.9,73.561,3,51.493,37.238,-7.7005e-11,-74.477
1680,3.9,73.561,3,51.493,37.238,-5.576e-11,-74.477
1740,3.9,73.561,3,51.493,37.238,-3.4513e-11,-74.477
1800,3.9,73.561,3,51.493,37.238,-1.3269e-11,-74.477
1860,3.9,73.561,3,51.493,37.238,7.9809e-12,-74.477
1920,3.9,73.561,3,51.493,37.238,4.5678e-12,-74.477
1980,3.9,73.561,3,51.493,37.238,7.0927e-13,-74.477
2040,3.8989,73.506,3,51.454,37.25,-0.0018876,-74.487
2100,3.8973,73.384,3,51.369,37.259,-0.0020837,-74.503
2160,3.8957,73.258,3,51.281,37.267,-0.0020904,-74.52
2220,3.8941,73.133,3,51.193,37.276,-0.002089,-74.536
2280,3.8925,73.008,3,51.105,37.284,-0.0020875,-74.553
