time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3.5,357.14,4,250,78.874,-10.416,-84.837
60,3.5006,57.992,4.0087,40.595,41.946,-0.87908,-77.738
120,3.5011,44.64,4.0174,31.248,39.39,-0.016625,-78.664
180,3.5017,44.424,4.0261,31.097,39.339,0.00032816,-78.68
240,3.5023,44.458,4.0348,31.121,39.337,0.00064199,-78.678
300,3.5029,44.497,4.0435,31.148,39.335,0.00064777,-78.675
360,3.5034,44.536,4.0522,31.175,39.334,0.0006482,-78.672
420,3.504,44.575,4.0609,31.202,39.332,0.00064811,-78.669
480,3.5046,44.614,4.0696,31.229,39.331,0.00064835,-78.666
540,3.5051,44.652,4.0783,31.257,39.329,0.00064847,-78.662
600,3.5057,44.691,4.087,31.284,39.327,0.0006487,-78.659
660,3.5063,44.73,4.0957,31.311,39.326,0.00064887,-78.656
720,3.5068,44.769,4.1044,31.338,39.324,0.000649,-78.653
780,3.5074,44.808,4.1131,31.366,39.323,0.00064907,-78.65
840,3.508,44.847,4.1218,31.393,39.321,0.0006491,-78.647
900,3.5086,44.886,4.1305,31.42,39.32,0.00064917,-78.644
960,3.5091,44.925,4.1392,31.447,39.318,0.00064928,-78.641
1020,3.5097,44.964,4.1479,31.475,39.316,0.00064939,-78.637
1080,3.5103,45.003,4.1566,31.502,39.315,0.00064951,-78.634
1140,3.5108,45.042,4.1653,31.529,39.313,0.00064962,-78.631
1200,3.5114,45.081,4.174,31.557,39.312,0.00064973,-78.628
1260,3.512,45.12,4.1827,31.584,39.31,0.00064984,-78.625
1320,3.5125,45.159,4.1914,31.611,39.308,0.00064996,-78.622
1380,3.5131,45.198,4.2001,31.638,39.307,0.00065008,-78.618
1440,3.5137,45.237,4.2088,31.666,39.305,0.0006502,-78.615
1500,3.5143,45.276,4.2175,31.693,39.304,0.00065033,-78.612
1560,3.5148,45.315,4.2262,31.72,39.302,0.00065045,-78.609
1620,3.5154,45.354,4.2349,31.748,39.3,0.00065057,-78.605
1680,3.516,45.393,4.2436,31.775,39.299,0.00065069,-78.602
1740,3.5165,45.432,4.2524,31.802,39.297,0.00065081,-78.599
1800,3.5171,45.471,4.2611,31.83,39.295,0.00064965,-78.595
1860,3.5188,45.568,4.2696,31.898,39.285,0.0019177,-78.583
1920,3.5205,45.685,4.2782,31.979,39.278,0.0019432,-78.57
1980,3.5222,45.801,4.2867,32.061,39.271,0.0019444,-78.556
2040,3.5239,45.918,4.2953,32.143,39.265,0.0019454,-78.543
2100,3.5256,46.035,4.3038,32.224,39.258,0.0019465,-78.529
2160,3.5273,46.152,4.3124,32.306,39.251,0.0019476,-78.515
2220,3.529,46.268,4.3209,32.388,39.244,0.0019486,-78.502
2280,3.5307,46.385,4.3295,32.47,39.237,0.0019497,-78.488
2340,3.5324,46.502,4.338,32.552,39.23,0.0019507,-78.474
2400,3.5341,46.619,4.3466,32.634,39.223,0.0019517,-78.461
2460,3.5358,46.737,4.3551,32.716,39.217,0.0019528,-78.447
2520,3.5375,46.854,4.3637,32.798,39.21,0.0019538,-78.433
2580,3.5392,46.971,4.3722,32.88,39.203,0.0019549,-78.419
2640,3.5409,47.088,4.3808,32.962,39.196,0.0019561,-78.405
2700,3.5426,47.206,4.3893,33.044,39.189,0.0019572,-78.392
2760,3.5443,47.323,4.3979,33.126,39.182,0.0019582,-78.378
2820,3.546,47.441,4.4065,33.209,39.175,0.0019592,-78.364
2880,3.5477,47.558,4.415,33.291,39.168,0.0019603,-78.35
2940,3.5494,47.676,4.4236,33.373,39.161,0.0019614,-78.336
3000,3.5511,47.794,4.4321,33.456,39.154,0.0019625,-78.322
3060,3.5528,47.912,4.4407,33.538,39.147,0.0019636,-78.308
3120,3.5545,48.029,4.4492,33.621,39.14,0.0019648,-78.294
3180,3.5562,48.147,4.4578,33.703,39.133,0.0019661,-78.28
3240,3.5579,48.265,4.4663,33.786,39.126,0.0019671,-78.266
3300,3.5596,48.383,4.4749,33.868,39.119,0.0019682,-78.252
3360,3.5613,48.502,4.4834,33.951,39.112,0.0019693,-78.238
3420,3.563,48.62,4.492,34.034,39.105,0.0019704,-78.224
3480,3.5647,48.738,4.5005,34.117,39.098,0.0019715,-78.21
3540,3.5664,48.856,4.5091,34.199,39.091,0.0019726,-78.196
3600,3.5681,48.975,4.5176,34.282,39.084,0.0019671,-78.182
3660,3.571,49.151,4.5259,34.405,39.068,0.0032273,-78.159
3720,3.5738,49.345,4.5342,34.542,39.056,0.0032571,-78.134
3780,3.5766,49.541,4.5424,34.679,39.044,0.0032603,-78.11
3840,3.5794,49.737,4.5507,34.816,39.031,0.0032634,-78.085
3900,3.5822,49.933,4.5589,34.953,39.019,0.0032665,-78.061
3960,3.585,50.129,4.5672,35.09,39.007,0.0032696,-78.036
4020,3.5878,50.325,4.5754,35.227,38.994,0.0032727,-78.012
4080,3.5906,50.521,4.5837,35.365,38.982,0.0032756,-77.987
4140,3.5934,50.718,4.592,35.503,38.97,0.0032784,-77.962
4200,3.5962,50.915,4.6002,35.64,38.957,0.0032813,-77.937
4260,3.599,51.112,4.6085,35.778,38.945,0.0032842,-77.913
4320,3.6018,51.309,4.6167,35.916,38.932,0.0032873,-77.888
4380,3.6046,51.507,4.625,36.055,38.92,0.0032905,-77.863
4440,3.6074,51.704,4.6332,36.193,38.907,0.0032939,-77.838
4500,3.6102,51.902,4.6415,36.331,38.895,0.0032975,-77.813
4560,3.613,52.1,4.6498,36.47,38.882,0.0033004,-77.788
4620,3.6158,52.298,4.658,36.609,38.87,0.0033032,-77.763
4680,3.6186,52.496,4.6663,36.747,38.857,0.0033061,-77.738
4740,3.6214,52.695,4.6745,36.886,38.845,0.0033092,-77.713
4800,3.6242,52.894,4.6828,37.025,38.832,0.0033124,-77.688
4860,3.627,53.092,4.691,37.165,38.82,0.0033158,-77.662
4920,3.6298,53.292,4.6993,37.304,38.807,0.0033194,-77.637
4980,3.6326,53.491,4.7076,37.444,38.794,0.0033233,-77.612
5040,3.6354,53.69,4.7158,37.583,38.782,0.0033266,-77.587
5100,3.6382,53.89,4.7241,37.723,38.769,0.0033298,-77.561
5160,3.641,54.09,4.7323,37.863,38.756,0.003333,-77.536
5220,3.6438,54.29,4.7406,38.003,38.744,0.0033363,-77.511
5280,3.6466,54.49,4.7489,38.143,38.731,0.0033396,-77.485
5340,3.6494,54.691,4.7571,38.284,38.718,0.0033429,-77.46
5400,3.6522,54.891,4.7654,38.424,38.705,0.0033447,-77.434
5460,3.6561,55.148,4.7732,38.604,38.684,0.0045798,-77.4
5520,3.66,55.424,4.781,38.797,38.666,0.0046155,-77.364
5580,3.6638,55.701,4.7888,38.991,38.648,0.004622,-77.328
5640,3.6677,55.979,4.7967,39.185,38.63,0.0046283,-77.292
5700,3.6715,56.257,4.8045,39.38,38.612,0.0046348,-77.256
5760,3.6754,56.535,4.8123,39.575,38.594,0.0046413,-77.22
