time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,5,357.14,3,250,40.735,-1.8707,-68.374
60,4.9967,270.96,3,189.68,35.96,-1.0404,-64.638
120,4.9935,227.68,3,159.38,33.127,-0.4536,-63.078
180,4.9902,210.34,3,147.24,31.896,-0.16715,-62.621
240,4.9869,204.04,3,142.83,31.469,-0.061373,-62.509
300,4.9837,201.6,3,141.12,31.341,-0.026674,-62.496
360,4.9804,200.39,3,140.27,31.311,-0.01576,-62.513
420,4.9772,199.56,3,139.69,31.312,-0.01236,-62.538
480,4.9739,198.86,3,139.2,31.323,-0.011281,-62.566
540,4.9706,198.2,3,138.74,31.336,-0.010911,-62.596
600,4.9674,197.55,3,138.28,31.35,-0.010756,-62.625
660,4.9641,196.9,3,137.83,31.365,-0.010667,-62.655
720,4.9608,196.27,3,137.39,31.38,-0.010596,-62.685
780,4.9576,195.63,3,136.94,31.394,-0.010533,-62.715
840,4.9543,195,3,136.5,31.409,-0.010473,-62.746
900,4.951,194.38,3,136.06,31.424,-0.010413,-62.776
960,4.9478,193.75,3,135.63,31.44,-0.010354,-62.807
1020,4.9445,193.13,3,135.19,31.455,-0.010297,-62.837
1080,4.9413,192.52,3,134.76,31.47,-0.01024,-62.868
1140,4.938,191.9,3,134.33,31.485,-0.010184,-62.899
1200,4.9347,191.3,3,133.91,31.501,-0.010128,-62.931
1260,4.9315,190.69,3,133.48,31.516,-0.010074,-62.962
1320,4.9282,190.09,3,133.06,31.532,-0.010019,-62.993
1380,4.9249,189.49,3,132.64,31.547,-0.0099657,-63.025
1440,4.9217,188.89,3,132.22,31.563,-0.0099128,-63.057
1500,4.9184,188.3,3,131.81,31.579,-0.0098605,-63.089
1560,4.9152,187.71,3,131.4,31.595,-0.0098088,-63.121
1620,4.9119,187.12,3,130.98,31.611,-0.0097579,-63.153
1680,4.9086,186.54,3,130.58,31.627,-0.0097075,-63.185
1740,4.9054,185.96,3,130.17,31.643,-0.0096577,-63.217
1800,4.9021,185.38,3,129.76,31.659,-0.0096086,-63.25
1860,4.8988,184.8,3,129.36,31.675,-0.00956,-63.283
1920,4.8956,184.23,3,128.96,31.691,-0.0095119,-63.315
1980,4.8923,183.66,3,128.56,31.707,-0.0094644,-63.348
2040,4.8896,183.13,3,128.19,31.716,-0.0080554,-63.375
2100,4.8871,182.67,3,127.87,31.726,-0.0074246,-63.4
2160,4.8846,182.23,3,127.56,31.738,-0.007247,-63.425
2220,4.882,181.8,3,127.26,31.751,-0.0071811,-63.451
2280,4.8795,181.37,3,126.96,31.763,-0.0071451,-63.476
2340,4.877,180.94,3,126.66,31.776,-0.0071159,-63.502
2400,4.8745,180.51,3,126.36,31.789,-0.0070886,-63.528
2460,4.872,180.09,3,126.06,31.802,-0.0070619,-63.554
2520,4.8695,179.67,3,125.77,31.814,-0.0070359,-63.58
2580,4.867,179.24,3,125.47,31.827,-0.0070103,-63.606
2640,4.8644,178.82,3,125.18,31.84,-0.006985,-63.632
2700,4.8619,178.41,3,124.88,31.853,-0.0069598,-63.658
2760,4.8594,177.99,3,124.59,31.866,-0.0069349,-63.684
2820,4.8569,177.57,3,124.3,31.879,-0.0069102,-63.71
2880,4.8544,177.16,3,124.01,31.892,-0.0068856,-63.736
2940,4.8519,176.75,3,123.72,31.905,-0.0068614,-63.762
3000,4.8494,176.34,3,123.44,31.918,-0.0068373,-63.789
3060,4.8468,175.93,3,123.15,31.931,-0.0068134,-63.815
3120,4.8443,175.52,3,122.86,31.945,-0.0067896,-63.842
3180,4.8418,175.11,3,122.58,31.958,-0.0067661,-63.868
3240,4.8393,174.71,3,122.3,31.971,-0.0067428,-63.895
3300,4.8368,174.3,3,122.01,31.984,-0.0067196,-63.921
3360,4.8343,173.9,3,121.73,31.997,-0.0066967,-63.948
3420,4.8318,173.5,3,121.45,32.011,-0.0066739,-63.974
3480,4.8292,173.1,3,121.17,32.024,-0.0066513,-64.001
3540,4.8267,172.7,3,120.89,32.037,-0.0066289,-64.028
3600,4.8242,172.3,3,120.61,32.051,-0.0066066,-64.055
3660,4.8217,171.91,3,120.34,32.064,-0.0065845,-64.082
3720,4.8192,171.51,3,120.06,32.077,-0.0065625,-64.109
3780,4.8167,171.12,3,119.78,32.091,-0.0065407,-64.135
3840,4.8142,170.73,3,119.51,32.104,-0.0065191,-64.162
3900,4.83,170.88,3,119.62,31.799,0.052956,-63.968
3960,4.8925,177.31,3,124.11,31.133,0.14134,-63.255
4020,4.955,186.75,3,130.73,30.697,0.16998,-62.583
4080,5.0175,197.53,3,138.27,30.314,0.18906,-61.951
4140,5.08,209.45,3,146.62,29.951,0.20882,-61.364
4200,5.1425,222.66,3,155.86,29.605,0.23214,-60.836
4260,5.2049,237.42,3,166.19,29.278,0.2607,-60.38
4320,5.2674,254.08,3,177.86,28.972,0.29609,-60.017
4380,5.3299,273.12,3,191.18,28.694,0.33995,-59.767
4440,5.3924,295.07,3,206.55,28.447,0.39333,-59.646
4500,5.4549,320.48,3,224.34,28.234,0.45488,-59.653
4560,5.5174,349.67,3,244.77,28.059,0.51718,-59.737
4620,5.5799,382.2,3,267.54,27.915,0.56218,-59.764
4680,5.6424,416.26,3,291.38,27.78,0.56407,-59.509
4740,5.7048,448.74,3,314.12,27.598,0.50972,-58.764
4800,5.7673,476.7,3,333.69,27.284,0.4196,-57.505
4860,5.8298,499.14,3,349.4,26.782,0.33106,-55.881
4920,5.8923,516.9,3,361.83,26.1,0.26516,-54.056
4980,5.9548,531.41,3,371.99,25.284,0.22168,-52.119
5040,6.0173,543.8,3,380.66,24.378,0.19294,-50.107
5100,6.0798,554.73,3,388.31,23.412,0.17261,-48.032
5160,6.1423,564.61,3,395.22,22.402,0.1571,-45.904
5220,6.2047,573.64,3,401.55,21.358,0.14457,-43.728
5280,6.2672,581.99,3,407.4,20.287,0.13408,-41.512
5340,6.3297,589.76,3,412.83,19.192,0.12508,-39.259
5400,6.3922,597.03,3,417.92,18.077,0.11725,-36.974
5460,6.4547,603.85,3,422.7,16.944,0.11034,-34.661
5520,6.5172,610.28,3,427.2,15.796,0.10417,-32.322
5580,6.5797,616.36,3,431.46,14.635,0.098627,-29.96
5640,6.6422,622.13,3,435.49,13.461,0.093608,-27.577
5700,6.7046,627.61,3,439.32,12.276,0.089035,-25.176
5760,6.7671,632.82,3,442.97,11.082,0.084838,-22.757
5820,6.8296,637.79,3,446.45,9.8781,0.080965,-20.323
5880,6.8921,642.54,3,449.78,8.6666,0.077386,-17.875
5940,6.9385,646.8,3,452.76,7.8413,0.030714,-15.898
6000,6.9187,646.42,3,452.49,8.3219,-0.020811,-16.498
6060,6.8989,645.06,3,451.54,8.7146,-0.023516,-17.265
6120,6.8791,643.63,3,450.54,9.1026,-0.023945,-18.038
6180,6.8594,642.19,3,449.53,9.4898,-0.024305,-18.81
