time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3,333.33,4,250,1.2295,-0.21604,-1.1627
10,5.7473,333.08,2.0935e-08,249.81,1.304e-07,9.3929e-09,-3.1716e-07
20,5.7473,333.08,4.4426e-08,249.81,2.7672e-07,1.9932e-08,-6.7304e-07
30,5.7473,333.08,4.3747e-08,249.81,2.725e-07,1.9628e-08,-6.6277e-07
40,5.7473,333.08,-8.9614e-10,249.81,-5.5338e-09,-3.986e-10,1.3459e-08
50,5.7473,333.08,-5.0968e-09,249.81,-3.1473e-08,-2.267e-09,7.6549e-08
60,5.7473,333.08,-3.3454e-09,249.81,-2.0658e-08,-1.488e-09,5.0244e-08
70,5.7473,333.08,2.3668e-10,249.81,1.4743e-09,1.0619e-10,-3.5857e-09
80,5.7473,333.08,3.2473e-10,249.81,2.0227e-09,1.4569e-10,-4.9195e-09
90,5.7473,333.08,1.7536e-11,249.81,1.0923e-10,7.8678e-12,-2.6567e-10
100,5.7473,333.08,1.6444e-11,249.81,1.0243e-10,7.3779e-12,-2.4913e-10
110,5.7473,333.08,1.5352e-11,249.81,9.5628e-11,6.8881e-12,-2.3258e-10
120,5.7473,333.08,1.4261e-11,249.81,8.8827e-11,6.3982e-12,-2.1604e-10
130,5.7473,333.08,1.3169e-11,249.81,8.2026e-11,5.9083e-12,-1.995e-10
140,5.7473,333.08,1.2077e-11,249.81,7.5226e-11,5.4185e-12,-1.8296e-10
150,5.7473,333.08,1.0985e-11,249.81,6.8425e-11,4.9286e-12,-1.6642e-10
160,5.7473,333.08,9.8932e-12,249.81,6.1624e-11,4.4387e-12,-1.4988e-10
170,5.7473,333.08,8.8014e-12,249.81,5.4823e-11,3.9489e-12,-1.3334e-10
180,5.7473,333.08,7.7095e-12,249.81,4.8022e-11,3.459e-12,-1.168e-10
190,5.7473,333.08,6.6177e-12,249.81,4.1221e-11,2.9691e-12,-1.0026e-10
200,5.7473,333.08,5.5259e-12,249.81,3.442e-11,2.4793e-12,-8.3716e-11
210,5.7473,333.08,4.4341e-12,249.81,2.7619e-11,1.9894e-12,-6.7175e-11
220,5.7473,333.08,3.3422e-12,249.81,2.0818e-11,1.4995e-12,-5.0634e-11
230,5.7473,333.08,2.2504e-12,249.81,1.4018e-11,1.0097e-12,-3.4093e-11
240,5.7473,333.08,1.1586e-12,249.81,7.2167e-12,5.1981e-13,-1.7552e-11
250,5.7473,333.08,1.7149e-13,249.81,1.0682e-12,7.694e-14,-2.598e-12
260,5.7473,333.08,1.5165e-13,249.81,9.4463e-13,6.8042e-14,-2.2975e-12
270,5.7473,333.08,1.3182e-13,249.81,8.2109e-13,5.9143e-14,-1.997e-12
280,5.7473,333.08,1.1199e-13,249.81,6.9756e-13,5.0245e-14,-1.6966e-12
290,5.7473,333.08,9.2154e-14,249.81,5.7402e-13,4.1346e-14,-1.3961e-12
300,5.7473,333.08,7.232e-14,249.81,4.5048e-13,3.2448e-14,-1.0956e-12
310,5.7473,333.08,5.2487e-14,249.81,3.2694e-13,2.3549e-14,-7.9517e-13
320,5.7473,333.08,3.2654e-14,249.81,2.034e-13,1.4651e-14,-4.947e-13
330,5.7473,333.08,1.2821e-14,249.81,7.9859e-14,5.7522e-15,-1.9423e-13
340,5.7473,333.08,-7.0125e-15,249.81,-4.3304e-14,-3.1191e-15,1.0532e-13
350,5.7473,333.08,-2.6846e-14,249.81,-1.6578e-13,-1.1941e-14,4.032e-13
360,5.7473,333.08,-4.6679e-14,249.81,-2.8825e-13,-2.0763e-14,7.0108e-13
370,5.7473,333.08,-6.6512e-14,249.81,-4.1073e-13,-2.9584e-14,9.9896e-13
380,5.7473,333.08,-8.6345e-14,249.81,-5.332e-13,-3.8406e-14,1.2968e-12
390,5.7473,333.08,-1.0618e-13,249.81,-6.5567e-13,-4.7228e-14,1.5947e-12
400,5.7473,333.08,-1.2601e-13,249.81,-7.7815e-13,-5.605e-14,1.8926e-12
410,5.7473,333.08,-1.4585e-13,249.81,-9.0062e-13,-6.4871e-14,2.1905e-12
420,5.7473,333.08,-1.5127e-13,249.81,-9.3409e-13,-6.7282e-14,2.2719e-12
430,5.7473,333.08,-1.4214e-13,249.81,-8.7772e-13,-6.3222e-14,2.1348e-12
440,5.7473,333.08,-1.3301e-13,249.81,-8.2135e-13,-5.9161e-14,1.9977e-12
450,5.7473,333.08,-1.2388e-13,249.81,-7.6498e-13,-5.5101e-14,1.8606e-12
