time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,5,333.33,3,250,0,-0.0291,0
60,4.9967,331.59,3,248.69,0,-0.029082,0
120,4.9935,329.84,3,247.38,0,-0.029064,0
180,4.9902,328.1,3,246.08,0,-0.029046,0
240,4.9869,326.36,3,244.77,0,-0.029028,0
300,4.9837,324.62,3,243.46,0,-0.029009,0
360,4.9804,322.88,3,242.16,0,-0.02899,0
420,4.9772,321.14,3,240.85,0,-0.02897,0
480,4.9739,319.4,3,239.55,0,-0.02895,0
540,4.9706,317.67,3,238.25,0,-0.028928,0
600,4.9674,315.93,3,236.95,0,-0.028906,0
660,4.9641,314.2,3,235.65,0,-0.028883,0
720,4.9608,312.46,3,234.35,0,-0.028858,0
780,4.9576,310.73,3,233.05,0,-0.028833,0
840,4.9543,309,3,231.75,0,-0.028806,0
900,4.951,307.28,3,230.46,0,-0.028778,0
960,4.9478,305.55,3,229.16,0,-0.028748,0
1020,4.9445,303.83,3,227.87,0,-0.028717,0
1080,4.9413,302.11,3,226.58,0,-0.028685,0
1140,4.938,300.39,3,225.29,0,-0.02865,0
1200,4.9347,298.67,3,224,0,-0.028614,0
1260,4.9315,296.95,3,222.71,0,-0.028576,0
1320,4.9282,295.24,3,221.43,0,-0.028536,0
1380,4.9249,293.53,3,220.15,0,-0.028494,0
1440,4.9217,291.82,3,218.86,0,-0.02845,0
1500,4.9184,290.11,3,217.59,0,-0.028404,0
1560,4.9152,288.41,3,216.31,0,-0.028355,0
1620,4.9119,286.71,3,215.03,0,-0.028305,0
1680,4.9086,285.01,3,213.76,0,-0.028252,0
1740,4.9054,283.32,3,212.49,0,-0.028196,0
1800,4.9021,281.63,3,211.22,0,-0.028138,0
1860,4.8988,279.94,3,209.96,0,-0.028078,0
1920,4.8956,278.26,3,208.7,0,-0.028015,0
1980,4.8923,276.58,3,207.44,0,-0.02795,0
2040,4.8896,274.91,3,206.18,0,-0.027843,0
2100,4.8871,273.24,3,204.93,0,-0.027719,0
2160,4.8846,271.58,3,203.69,0,-0.027594,0
2220,4.882,269.93,3,202.45,0,-0.027466,0
2280,4.8795,268.29,3,201.22,0,-0.027336,0
2340,4.877,266.65,3,199.99,0,-0.027204,0
2400,4.8745,265.02,3,198.77,0,-0.02707,0
2460,4.872,263.4,3,197.55,0,-0.026934,0
2520,4.8695,261.79,3,196.34,0,-0.026796,0
2580,4.867,260.19,3,195.14,0,-0.026655,0
