time,glc_pp,lac_pp,glc,lac,gly,gly_vol,f_glc_pp,f_lac_pp,f_glc,f_lac,f_gly
0,3.9,3,3.9,3,357.14,250,0,0,1.4836,-0.993,-0.28203
60,3.9,3,5.5814,0.5457,354.36,248.05,0,0,-3.2913e-05,3.1159e-05,-0.042474
120,3.9,3,5.5795,0.54757,351.81,246.27,0,0,-3.3042e-05,3.1524e-05,-0.042377
180,3.9,3,5.5775,0.54946,349.27,244.49,0,0,-3.3082e-05,3.1667e-05,-0.04228
240,3.9,3,5.5755,0.55137,346.74,242.72,0,0,-3.3177e-05,3.1955e-05,-0.042183
300,3.9,3,5.5735,0.5533,344.21,240.95,0,0,-3.3284e-05,3.2227e-05,-0.042087
360,3.9,3,5.5715,0.55524,341.69,239.18,0,0,-3.3387e-05,3.2395e-05,-0.04199
420,3.9,3,5.5695,0.55718,339.17,237.42,0,0,-3.3505e-05,3.2567e-05,-0.041894
480,3.9,3,5.5675,0.55914,336.66,235.66,0,0,-3.363e-05,3.271e-05,-0.041797
540,3.9,3,5.5655,0.56111,334.16,233.91,0,0,-3.3771e-05,3.2839e-05,-0.0417
600,3.9,3,5.5634,0.56308,331.66,232.16,0,0,-3.3921e-05,3.2939e-05,-0.041602
660,3.9,3,5.5614,0.56506,329.16,230.42,0,0,-3.4074e-05,3.3007e-05,-0.041504
720,3.9,3,5.5593,0.56705,326.68,228.67,0,0,-3.4239e-05,3.3045e-05,-0.041405
780,3.9,3,5.5573,0.56903,324.2,226.94,0,0,-3.4416e-05,3.3052e-05,-0.041305
840,3.9,3,5.5552,0.57101,321.72,225.2,0,0,-3.4624e-05,3.3024e-05,-0.041204
900,3.9,3,5.5531,0.57299,319.25,223.48,0,0,-3.4825e-05,3.2975e-05,-0.041102
960,3.9,3,5.551,0.57497,316.79,221.75,0,0,-3.4997e-05,3.2917e-05,-0.040999
1020,3.9,3,5.5489,0.57694,314.33,220.03,0,0,-3.519e-05,3.2824e-05,-0.040895
1080,3.9,3,5.5468,0.57891,311.88,218.32,0,0,-3.543e-05,3.2683e-05,-0.040789
1140,3.9,3,5.5447,0.58087,309.44,216.61,0,0,-3.5652e-05,3.2528e-05,-0.040681
1200,3.9,3,5.5425,0.58282,307,214.9,0,0,-3.5826e-05,3.2375e-05,-0.040572
1260,3.9,3,5.5404,0.58476,304.57,213.2,0,0,-3.606e-05,3.2165e-05,-0.040461
1320,3.9,3,5.5382,0.58668,302.14,211.5,0,0,-3.6321e-05,3.1916e-05,-0.040348
1380,3.9,3,5.536,0.58859,299.73,209.81,0,0,-3.6556e-05,3.1661e-05,-0.040233
1440,3.9,3,5.5338,0.59049,297.32,208.12,0,0,-3.6733e-05,3.1423e-05,-0.040116
1500,3.9,3,5.5316,0.59236,294.91,206.44,0,0,-3.7017e-05,3.1088e-05,-0.039997
1560,3.9,3,5.5294,0.59422,292.52,204.76,0,0,-3.7295e-05,3.0736e-05,-0.039875
1620,3.9,3,5.5272,0.59606,290.13,203.09,0,0,-3.7536e-05,3.039e-05,-0.039752
1680,3.9,3,5.5249,0.59787,287.75,201.42,0,0,-3.774e-05,3.0054e-05,-0.039625
1740,3.9,3,5.5226,0.59966,285.37,199.76,0,0,-3.8041e-05,2.9614e-05,-0.039497
1800,3.9,3,5.5203,0.60143,283.01,198.11,0,0,-3.8328e-05,2.9167e-05,-0.039365
1860,3.9,3,5.518,0.60317,280.65,196.45,0,0,-3.8567e-05,2.8743e-05,-0.039231
1920,3.9,3,5.5157,0.60489,278.3,194.81,0,0,-3.8778e-05,2.8329e-05,-0.039094
1980,3.9,3,5.5134,0.60657,275.96,193.17,0,0,-3.9049e-05,2.7841e-05,-0.038955
2040,3.8989,3,5.5105,0.608,273.62,191.54,0,0,-5.128e-05,2.1399e-05,-0.038857
2100,3.8973,3,5.5074,0.60927,271.3,189.91,0,0,-5.1711e-05,2.1023e-05,-0.038776
2160,3.8957,3,5.5043,0.61052,268.97,188.28,0,0,-5.2073e-05,2.0559e-05,-0.038692
2220,3.8941,3,5.5012,0.61174,266.65,186.66,0,0,-5.2434e-05,2.005e-05,-0.038604
2280,3.8925,3,5.498,0.61292,264.34,185.04,0,0,-5.28e-05,1.9516e-05,-0.038513
2340,3.8909,3,5.4949,0.61408,262.03,183.42,0,0,-5.3181e-05,1.8943e-05,-0.038418
2400,3.8893,3,5.4917,0.6152,259.73,181.81,0,0,-5.3555e-05,1.8367e-05,-0.03832
2460,3.8877,3,5.4884,0.61628,257.43,180.2,0,0,-5.3915e-05,1.7793e-05,-0.038217
2520,3.8861,3,5.4852,0.61733,255.14,178.6,0,0,-5.4301e-05,1.7168e-05,-0.038112
2580,3.8845,3,5.4819,0.61835,252.86,177,0,0,-5.4668e-05,1.6545e-05,-0.038002
2640,3.883,3,5.4786,0.61932,250.58,175.41,0,0,-5.503e-05,1.591e-05,-0.037888
2700,3.8814,3,5.4753,0.62026,248.31,173.82,0,0,-5.5414e-05,1.5234e-05,-0.037771
2760,3.8798,3,5.472,0.62115,246.05,172.24,0,0,-5.5768e-05,1.4575e-05,-0.037649
2820,3.8782,3,5.4686,0.62201,243.8,170.66,0,0,-5.6145e-05,1.3872e-05,-0.037524
2880,3.8766,3,5.4652,0.62282,241.55,169.08,0,0,-5.6521e-05,1.3154e-05,-0.037395
2940,3.875,3,5.4618,0.62359,239.31,167.52,0,0,-5.6866e-05,1.2458e-05,-0.037261
3000,3.8734,3,5.4584,0.62431,237.08,165.95,0,0,-5.7249e-05,1.1698e-05,-0.037123
3060,3.8718,3,5.455,0.62499,234.85,164.4,0,0,-5.7608e-05,1.0952e-05,-0.036982
3120,3.8702,3,5.4515,0.62563,232.64,162.85,0,0,-5.7948e-05,1.0215e-05,-0.036836
3180,3.8686,3,5.448,0.62622,230.43,161.3,0,0,-5.8307e-05,9.4377e-06,-0.036686
3240,3.867,3,5.4445,0.62676,228.24,159.77,0,0,-5.8661e-05,8.6529e-06,-0.036532
3300,3.8655,3,5.441,0.62726,226.05,158.23,0,0,-5.9006e-05,7.8676e-06,-0.036373
3360,3.8639,3,5.4374,0.62771,223.87,156.71,0,0,-5.9346e-05,7.0742e-06,-0.036211
3420,3.8623,3,5.4339,0.62811,221.7,155.19,0,0,-5.9688e-05,6.2629e-06,-0.036044
