time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,9,333.33,4,250,-0.62723,0.15597,0.31863
0.0045643,8.9971,333.33,4.0015,250,-0.62647,0.15591,0.31751
0.0091286,8.9943,333.33,4.0029,250,-0.62572,0.15584,0.31639
0.013693,8.9914,333.34,4.0043,250,-0.62496,0.15577,0.31528
0.034081,8.9787,333.34,4.0107,250,-0.6216,0.15548,0.3103
0.054469,8.9661,333.34,4.017,250.01,-0.61826,0.15519,0.30536
0.074857,8.9535,333.34,4.0232,250.01,-0.61493,0.1549,0.30045
0.095245,8.941,333.35,4.0292,250.01,-0.61162,0.15461,0.29557
0.17431,8.8932,333.36,4.0519,250.02,-0.59893,0.15349,0.27693
0.23646,8.8562,333.37,4.0686,250.03,-0.58911,0.15261,0.26259
0.29861,8.8199,333.38,4.0845,250.03,-0.57944,0.15173,0.24852
0.36076,8.7842,333.39,4.0995,250.04,-0.56991,0.15085,0.23473
0.42291,8.7491,333.4,4.1137,250.05,-0.56051,0.14997,0.22119
0.56311,8.6719,333.42,4.1426,250.06,-0.53983,0.14801,0.19161
0.70331,8.5977,333.44,4.1675,250.08,-0.51983,0.14606,0.1633
0.8435,8.5262,333.46,4.1885,250.09,-0.5005,0.14413,0.1362
0.9837,8.4573,333.48,4.2057,250.11,-0.48182,0.14223,0.11026
1.1239,8.391,333.5,4.2194,250.12,-0.46378,0.14035,0.085442
1.3635,8.2835,333.53,4.2351,250.15,-0.43436,0.13721,0.04548
1.6031,8.1828,333.57,4.2415,250.17,-0.40667,0.13415,0.0084218
1.8427,8.0885,333.6,4.2393,250.2,-0.38061,0.13117,-0.025795
2.0822,8.0003,333.63,4.2293,250.22,-0.3561,0.12828,-0.057478
2.3218,7.9177,333.66,4.212,250.24,-0.33308,0.1255,-0.086855
2.5614,7.8405,333.69,4.1879,250.27,-0.31145,0.12283,-0.11409
2.8766,7.7466,333.73,4.1466,250.3,-0.28501,0.11949,-0.14692
3.1918,7.6606,333.76,4.0956,250.32,-0.2607,0.11634,-0.17664
3.5071,7.582,333.8,4.0356,250.35,-0.23838,0.11338,-0.20354
3.8223,7.5102,333.84,3.9675,250.38,-0.21789,0.11061,-0.22789
4.1375,7.4445,333.87,3.8922,250.4,-0.19909,0.10802,-0.24994
4.4527,7.3845,333.9,3.8102,250.43,-0.18186,0.1056,-0.26989
4.8054,7.3235,333.94,3.7114,250.46,-0.16429,0.1031,-0.28999
5.1581,7.2684,333.98,3.6059,250.48,-0.14837,0.10079,-0.30797
5.5108,7.2187,334.01,3.4944,250.51,-0.13396,0.098661,-0.32404
5.8634,7.1738,334.05,3.3775,250.53,-0.12092,0.096708,-0.33842
6.2161,7.1332,334.08,3.2559,250.56,-0.10911,0.094916,-0.35127
6.5688,7.0967,334.11,3.1299,250.58,-0.098445,0.093272,-0.36274
7.0074,7.0561,334.15,2.968,250.61,-0.086594,0.091415,-0.3753
7.4461,7.0205,334.19,2.8009,250.64,-0.07615,0.089746,-0.38618
7.8847,6.9891,334.23,2.6294,250.67,-0.06695,0.088245,-0.39557
8.3234,6.9616,334.27,2.4541,250.7,-0.058848,0.086888,-0.40364
8.762,6.9374,334.31,2.2755,250.73,-0.051716,0.085658,-0.41052
9.2007,6.9161,334.35,2.0941,250.76,-0.045441,0.084534,-0.41632
9.6393,6.8974,334.38,1.9104,250.79,-0.03992,0.083496,-0.42113
10,6.8837,334.41,1.7579,250.81,-0.035883,0.082691,-0.42438
