time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3.5,333.33,4,250,3.155,-0.48607,-3.3935
60,3.5006,304.89,4.0087,228.67,3.0462,-0.46219,-3.3192
120,3.5011,277.87,4.0174,208.4,2.9391,-0.43821,-3.2488
180,3.5017,252.32,4.0261,189.24,2.8327,-0.41332,-3.1855
240,3.5023,228.3,4.0348,171.23,2.7269,-0.38708,-3.1313
300,3.5029,205.9,4.0435,154.43,2.622,-0.35939,-3.0876
360,3.5034,185.2,4.0522,138.9,2.5187,-0.33047,-3.0547
420,3.504,166.26,4.0609,124.7,2.4183,-0.30075,-3.0321
480,3.5046,149.11,4.0696,111.84,2.3219,-0.27081,-3.019
540,3.5051,133.76,4.0783,100.32,2.2307,-0.24129,-3.0137
600,3.5057,120.14,4.087,90.104,2.1458,-0.21281,-3.0148
660,3.5063,108.19,4.0957,81.14,2.0679,-0.1859,-3.0204
720,3.5068,97.792,4.1044,73.344,1.9974,-0.16095,-3.0292
780,3.5074,88.828,4.1131,66.621,1.9346,-0.13823,-3.0398
840,3.508,81.157,4.1218,60.868,1.8791,-0.11786,-3.0511
900,3.5086,74.637,4.1305,55.978,1.8308,-0.099848,-3.0625
960,3.5091,69.13,4.1392,51.847,1.7891,-0.084114,-3.0735
1020,3.5097,64.501,4.1479,48.376,1.7533,-0.07051,-3.0836
1080,3.5103,60.629,4.1566,45.472,1.7229,-0.058854,-3.0927
1140,3.5108,57.404,4.1653,43.053,1.6972,-0.04894,-3.1007
1200,3.5114,54.726,4.174,41.044,1.6756,-0.040562,-3.1078
1260,3.512,52.509,4.1827,39.382,1.6575,-0.03352,-3.1138
1320,3.5125,50.68,4.1914,38.01,1.6423,-0.027627,-3.1189
1380,3.5131,49.175,4.2001,36.881,1.6298,-0.022713,-3.1233
1440,3.5137,47.938,4.2088,35.954,1.6193,-0.018628,-3.1269
1500,3.5143,46.925,4.2175,35.194,1.6107,-0.015241,-3.1299
1560,3.5148,46.098,4.2262,34.573,1.6035,-0.012439,-3.1324
1620,3.5154,45.423,4.2349,34.067,1.5976,-0.010124,-3.1345
1680,3.516,44.875,4.2436,33.656,1.5927,-0.0082144,-3.1362
1740,3.5165,44.43,4.2524,33.323,1.5887,-0.0066412,-3.1375
1800,3.5171,44.072,4.2611,33.054,1.5854,-0.0053462,-3.1386
1860,3.5188,43.791,4.2696,32.843,1.5819,-0.0040635,-3.1393
1920,3.5205,43.58,4.2782,32.685,1.5789,-0.0030095,-3.1398
1980,3.5222,43.426,4.2867,32.57,1.5765,-0.0021441,-3.1401
2040,3.5239,43.32,4.2953,32.49,1.5744,-0.0014336,-3.1402
2100,3.5256,43.252,4.3038,32.439,1.5727,-0.00085043,-3.1402
2160,3.5273,43.215,4.3124,32.412,1.5712,-0.00037193,-3.1402
2220,3.529,43.205,4.3209,32.404,1.5699,2.0691e-05,-3.14
2280,3.5307,43.216,4.3295,32.412,1.5689,0.00034286,-3.1398
2340,3.5324,43.245,4.338,32.434,1.5679,0.00060723,-3.1395
2400,3.5341,43.288,4.3466,32.466,1.5671,0.00082417,-3.1391
2460,3.5358,43.343,4.3551,32.507,1.5664,0.0010022,-3.1388
2520,3.5375,43.408,4.3637,32.556,1.5657,0.0011484,-3.1383
2580,3.5392,43.481,4.3722,32.61,1.5651,0.0012685,-3.1379
2640,3.5409,43.56,4.3808,32.67,1.5646,0.0013672,-3.1374
2700,3.5426,43.644,4.3893,32.733,1.5641,0.0014483,-3.137
2760,3.5443,43.733,4.3979,32.8,1.5637,0.0015151,-3.1365
2820,3.546,43.826,4.4065,32.869,1.5633,0.00157,-3.136
2880,3.5477,43.922,4.415,32.941,1.5629,0.0016152,-3.1355
2940,3.5494,44.02,4.4236,33.015,1.5625,0.0016525,-3.1349
3000,3.5511,44.12,4.4321,33.09,1.5622,0.0016833,-3.1344
3060,3.5528,44.222,4.4407,33.166,1.5618,0.0017088,-3.1339
3120,3.5545,44.325,4.4492,33.244,1.5615,0.0017299,-3.1333
3180,3.5562,44.429,4.4578,33.322,1.5612,0.0017474,-3.1328
3240,3.5579,44.534,4.4663,33.401,1.5608,0.0017619,-3.1323
3300,3.5596,44.64,4.4749,33.48,1.5605,0.001774,-3.1317
3360,3.5613,44.747,4.4834,33.56,1.5602,0.0017842,-3.1311
3420,3.563,44.854,4.492,33.641,1.5599,0.0017927,-3.1306
3480,3.5647,44.962,4.5005,33.722,1.5596,0.0017999,-3.13
3540,3.5664,45.07,4.5091,33.803,1.5593,0.0018059,-3.1295
3600,3.5681,45.179,4.5176,33.884,1.559,0.0018109,-3.1289
3660,3.571,45.294,4.5259,33.971,1.558,0.0020257,-3.1281
3720,3.5738,45.421,4.5342,34.066,1.5571,0.0022025,-3.1273
3780,3.5766,45.558,4.5424,34.168,1.5562,0.0023482,-3.1265
3840,3.5794,45.703,4.5507,34.277,1.5554,0.0024684,-3.1256
3900,3.5822,45.854,4.5589,34.39,1.5547,0.0025678,-3.1247
3960,3.585,46.01,4.5672,34.508,1.554,0.0026499,-3.1238
4020,3.5878,46.171,4.5754,34.629,1.5533,0.002718,-3.1229
4080,3.5906,46.336,4.5837,34.752,1.5527,0.0027745,-3.122
4140,3.5934,46.504,4.592,34.878,1.552,0.0028214,-3.121
4200,3.5962,46.675,4.6002,35.006,1.5514,0.0028605,-3.1201
4260,3.599,46.847,4.6085,35.136,1.5509,0.0028932,-3.1191
4320,3.6018,47.022,4.6167,35.266,1.5503,0.0029206,-3.1181
4380,3.6046,47.198,4.625,35.398,1.5497,0.0029437,-3.1171
4440,3.6074,47.375,4.6332,35.531,1.5492,0.0029632,-3.1162
4500,3.6102,47.553,4.6415,35.665,1.5486,0.0029798,-3.1152
4560,3.613,47.732,4.6498,35.799,1.5481,0.0029939,-3.1142
4620,3.6158,47.912,4.658,35.934,1.5476,0.0030061,-3.1132
4680,3.6186,48.093,4.6663,36.07,1.547,0.0030166,-3.1122
4740,3.6214,48.274,4.6745,36.206,1.5465,0.0030258,-3.1112
4800,3.6242,48.456,4.6828,36.342,1.546,0.0030338,-3.1102
4860,3.627,48.638,4.691,36.479,1.5455,0.003041,-3.1092
4920,3.6298,48.821,4.6993,36.616,1.545,0.0030474,-3.1082
4980,3.6326,49.004,4.7076,36.753,1.5444,0.0030533,-3.1072
5040,3.6354,49.187,4.7158,36.891,1.5439,0.0030586,-3.1062
5100,3.6382,49.371,4.7241,37.028,1.5434,0.0030635,-3.1052
5160,3.641,49.555,4.7323,37.166,1.5429,0.0030681,-3.1041
5220,3.6438,49.739,4.7406,37.304,1.5423,0.0030723,-3.1031
5280,3.6466,49.924,4.7489,37.443,1.5418,0.0030764,-3.1021
5340,3.6494,50.108,4.7571,37.581,1.5413,0.0030802,-3.1011
5400,3.6522,50.293,4.7654,37.72,1.5408,0.0030836,-3.1001
5460,3.6561,50.485,4.7732,37.864,1.5395,0.0032868,-3.0988
5520,3.66,50.687,4.781,38.015,1.5384,0.0034557,-3.0975
5580,3.6638,50.899,4.7888,38.174,1.5373,0.0035962,-3.0962
5640,3.6677,51.118,4.7967,38.339,1.5363,0.0037134,-3.0949
5700,3.6715,51.344,4.8045,38.508,1.5353,0.0038113,-3.0935
5760,3.6754,51.575,4.8123,38.682,1.5344,0.0038933,-3.0922
5820,3.6792,51.811,4.8201,38.858,1.5335,0.0039621,-3.0908
5880,3.6831,52.051,4.8279,39.038,1.5326,0.0040201,-3.0894
5940,3.687,52.293,4.8358,39.22,1.5318,0.0040692,-3.0879
6000,3.6908,52.539,4.8436,39.404,1.5309,0.0041108,-3.0865
6060,3.6947,52.786,4.8514,39.59,1.5301,0.0041463,-3.0851
6120,3.6985,53.036,4.8592,39.777,1.5293,0.0041767,-3.0837
6180,3.7024,53.288,4.867,39.966,1.5285,0.0042029,-3.0822
6240,3.7062,53.54,4.8749,40.155,1.5277,0.0042257,-3.0808
6300,3.7101,53.795,4.8827,40.346,1.5269,0.0042456,-3.0793
6360,3.714,54.05,4.8905,40.537,1.5261,0.0042631,-3.0778
6420,3.7178,54.306,4.8983,40.73,1.5254,0.0042787,-3.0764
6480,3.7217,54.563,4.9061,40.922,1.5246,0.0042926,-3.0749
6540,3.7255,54.821,4.914,41.116,1.5238,0.0043052,-3.0734
6600,3.7294,55.08,4.9218,41.31,1.523,0.0043167,-3.072
6660,3.7332,55.339,4.9296,41.504,1.5223,0.0043273,-3.0705
6720,3.7371,55.599,4.9374,41.699,1.5215,0.0043371,-3.069
6780,3.741,55.86,4.9453,41.895,1.5207,0.0043463,-3.0675
6840,3.7448,56.121,4.9531,42.09,1.5199,0.004355,-3.066
6900,3.7487,56.382,4.9609,42.287,1.5192,0.0043633,-3.0645
6960,3.7525,56.644,4.9687,42.483,1.5184,0.0043713,-3.063
7020,3.7564,56.907,4.9765,42.68,1.5176,0.004379,-3.0615
7080,3.7602,57.17,4.9844,42.877,1.5169,0.0043864,-3.06
7140,3.7641,57.433,4.9922,43.075,1.5161,0.0043937,-3.0585
7200,3.7679,57.697,5,43.273,1.5153,0.0044004,-3.057
