time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,9,333.33,4,250,-1.8817,0.46791,0.9559
60,6.7629,334.75,-4.5321e-15,251.06,-2.7255e-22,-2.1328e-14,1.2797e-13
120,6.7629,334.75,-4.8102e-16,251.06,-3.6168e-22,-2.2637e-15,1.3582e-14
180,6.7629,334.75,9.7708e-17,251.06,1.2136e-22,4.6322e-16,-2.7793e-15
240,6.7629,334.75,-3.4713e-19,251.06,-5.51e-25,-1.6336e-18,9.8016e-18
300,6.7629,334.75,-1.8588e-18,251.06,-3.384e-24,-8.7476e-18,5.2486e-17
360,6.7629,334.75,-1.7166e-18,251.06,-3.1982e-24,-8.0785e-18,4.8471e-17
420,6.7629,334.75,-1.5745e-18,251.06,-3.0004e-24,-7.4095e-18,4.4457e-17
480,6.7629,334.75,-1.4323e-18,251.06,-2.7904e-24,-6.7404e-18,4.0443e-17
540,6.7629,334.75,-1.2901e-18,251.06,-2.5684e-24,-6.0714e-18,3.6428e-17
600,6.7629,334.75,-1.1479e-18,251.06,-2.3342e-24,-5.4023e-18,3.2414e-17
660,6.7629,334.75,-1.0058e-18,251.06,-2.0879e-24,-4.7332e-18,2.8399e-17
720,6.7629,334.75,-8.6361e-19,251.06,-1.8295e-24,-4.0642e-18,2.4385e-17
780,6.7629,334.75,-7.2144e-19,251.06,-1.5591e-24,-3.3951e-18,2.0371e-17
840,6.7629,334.75,-5.7926e-19,251.06,-1.2765e-24,-2.7261e-18,1.6356e-17
900,6.7629,334.75,-4.3709e-19,251.06,-9.8181e-25,-2.057e-18,1.2342e-17
960,6.7629,334.75,-2.9492e-19,251.06,-6.7502e-25,-1.3879e-18,8.3276e-18
1020,6.7629,334.75,-1.5275e-19,251.06,-3.5612e-25,-7.1887e-19,4.3132e-18
1080,6.7629,334.75,-1.0584e-20,251.06,-2.5125e-26,-4.9808e-20,2.9885e-19
1140,6.7629,334.75,-1.6015e-21,251.06,-3.8161e-27,-7.5368e-21,4.5221e-20
1200,6.7629,334.75,-1.47e-21,251.06,-3.5125e-27,-6.918e-21,4.1508e-20
1260,6.7629,334.75,-1.3385e-21,251.06,-3.2072e-27,-6.2992e-21,3.7795e-20
1320,6.7629,334.75,-1.207e-21,251.06,-2.9002e-27,-5.6804e-21,3.4082e-20
1380,6.7629,334.75,-1.0755e-21,251.06,-2.5914e-27,-5.0616e-21,3.0369e-20
1440,6.7629,334.75,-9.4406e-22,251.06,-2.2809e-27,-4.4428e-21,2.6657e-20
1500,6.7629,334.75,-8.1256e-22,251.06,-1.9686e-27,-3.824e-21,2.2944e-20
1560,6.7629,334.75,-6.8107e-22,251.06,-1.6546e-27,-3.2052e-21,1.9231e-20
1620,6.7629,334.75,-5.4958e-22,251.06,-1.3388e-27,-2.5864e-21,1.5518e-20
1680,6.7629,334.75,-4.1809e-22,251.06,-1.0212e-27,-1.9676e-21,1.1805e-20
1740,6.7629,334.75,-2.866e-22,251.06,-7.0197e-28,-1.3488e-21,8.0926e-21
1800,6.7629,334.75,-1.5511e-22,251.06,-3.8094e-28,-7.2997e-22,4.3798e-21
1860,6.7629,334.75,-2.3622e-23,251.06,-5.817e-29,-1.1117e-22,6.67e-22
1920,6.7629,334.75,1.4505e-23,251.06,3.6024e-29,6.8768e-23,-4.1261e-22
1980,6.7629,334.75,1.3349e-23,251.06,3.3166e-29,6.3285e-23,-3.7971e-22
2040,6.7629,334.75,1.2193e-23,251.06,3.0305e-29,5.7803e-23,-3.4682e-22
2100,6.7629,334.75,1.1036e-23,251.06,2.7442e-29,5.232e-23,-3.1392e-22
2160,6.7629,334.75,9.8796e-24,251.06,2.4577e-29,4.6838e-23,-2.8103e-22
2220,6.7629,334.75,8.7231e-24,251.06,2.1709e-29,4.1355e-23,-2.4813e-22
2280,6.7629,334.75,7.5667e-24,251.06,1.8839e-29,3.5873e-23,-2.1524e-22
2340,6.7629,334.75,6.4102e-24,251.06,1.5967e-29,3.039e-23,-1.8234e-22
2400,6.7629,334.75,5.2538e-24,251.06,1.3092e-29,2.4907e-23,-1.4944e-22
2460,6.7629,334.75,4.0973e-24,251.06,1.0214e-29,1.9425e-23,-1.1655e-22
2520,6.7629,334.75,2.9409e-24,251.06,7.3343e-30,1.3942e-23,-8.3654e-23
2580,6.7629,334.75,1.7844e-24,251.06,4.4521e-30,8.4597e-24,-5.0758e-23
2640,6.7629,334.75,6.2797e-25,251.06,1.5674e-30,2.9771e-24,-1.7863e-23
2700,6.7629,334.75,1.4973e-26,251.06,3.7381e-32,7.0983e-26,-4.259e-25
2760,6.7629,334.75,1.4795e-26,251.06,3.6941e-32,7.0142e-26,-4.2085e-25
2820,6.7629,334.75,1.4618e-26,251.06,3.65e-32,6.93e-26,-4.158e-25
