time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,3.9,333.33,3,250,2.7269,-0.36586,-3.2586
60,3.9,311.85,3,233.89,2.6549,-0.3504,-3.2073
120,3.9,291.28,3,218.46,2.5841,-0.3351,-3.1576
180,3.9,271.64,3,203.73,2.5142,-0.31956,-3.1109
240,3.9,252.94,3,189.71,2.4448,-0.30353,-3.0684
300,3.9,235.23,3,176.42,2.376,-0.28686,-3.0308
360,3.9,218.53,3,163.9,2.3079,-0.26954,-2.9986
420,3.9,202.9,3,152.17,2.241,-0.25167,-2.9721
480,3.9,188.34,3,141.26,2.1757,-0.23339,-2.951
540,3.9,174.89,3,131.17,2.1124,-0.21494,-2.9352
600,3.9,162.55,3,121.91,2.0517,-0.19656,-2.9241
660,3.9,151.3,3,113.47,1.9941,-0.17852,-2.917
720,3.9,141.12,3,105.84,1.9398,-0.16104,-2.9134
780,3.9,131.96,3,98.969,1.8893,-0.14435,-2.9126
840,3.9,123.77,3,92.831,1.8427,-0.12861,-2.9138
900,3.9,116.5,3,87.378,1.8002,-0.11395,-2.9166
960,3.9,110.08,3,82.559,1.7616,-0.10044,-2.9205
1020,3.9,104.43,3,78.32,1.7269,-0.08813,-2.9249
1080,3.9,99.479,3,74.609,1.6959,-0.077003,-2.9297
1140,3.9,95.163,3,71.372,1.6684,-0.06703,-2.9346
1200,3.9,91.413,3,68.56,1.6441,-0.058156,-2.9393
1260,3.9,88.164,3,66.123,1.6228,-0.05031,-2.9438
1320,3.9,85.357,3,64.018,1.6042,-0.043411,-2.948
1380,3.9,82.937,3,62.203,1.5881,-0.037374,-2.9519
1440,3.9,80.856,3,60.642,1.574,-0.032115,-2.9554
1500,3.9,79.07,3,59.302,1.5619,-0.027549,-2.9585
1560,3.9,77.538,3,58.153,1.5514,-0.023598,-2.9612
1620,3.9,76.227,3,57.17,1.5424,-0.020188,-2.9637
1680,3.9,75.106,3,56.329,1.5347,-0.017253,-2.9658
1740,3.9,74.148,3,55.611,1.528,-0.01473,-2.9677
1800,3.9,73.331,3,54.998,1.5224,-0.012567,-2.9693
1860,3.9,72.634,3,54.476,1.5175,-0.010714,-2.9707
1920,3.9,72.04,3,54.03,1.5133,-0.0091285,-2.9719
1980,3.9,71.534,3,53.651,1.5098,-0.0077741,-2.973
2040,3.8989,71.098,3,53.324,1.5076,-0.0068358,-2.9742
2100,3.8973,70.711,3,53.033,1.506,-0.0061128,-2.9754
2160,3.8957,70.363,3,52.772,1.5047,-0.0054958,-2.9765
2220,3.8941,70.049,3,52.537,1.5037,-0.0049693,-2.9776
2280,3.8925,69.765,3,52.324,1.5029,-0.0045201,-2.9786
2340,3.8909,69.506,3,52.129,1.5022,-0.0041371,-2.9796
2400,3.8893,69.267,3,51.951,1.5017,-0.0038108,-2.9805
2460,3.8877,69.047,3,51.786,1.5013,-0.0035326,-2.9814
2520,3.8861,68.843,3,51.632,1.501,-0.0032956,-2.9822
2580,3.8845,68.651,3,51.488,1.5008,-0.0030937,-2.983
2640,3.883,68.471,3,51.353,1.5007,-0.0029217,-2.9838
2700,3.8814,68.3,3,51.225,1.5006,-0.0027752,-2.9846
2760,3.8798,68.137,3,51.103,1.5006,-0.0026505,-2.9854
2820,3.8782,67.982,3,50.986,1.5007,-0.0025442,-2.9861
2880,3.8766,67.832,3,50.874,1.5008,-0.0024537,-2.9868
2940,3.875,67.687,3,50.765,1.5009,-0.0023765,-2.9876
3000,3.8734,67.546,3,50.66,1.5011,-0.0023108,-2.9883
3060,3.8718,67.409,3,50.557,1.5013,-0.0022547,-2.989
3120,3.8702,67.276,3,50.457,1.5015,-0.0022069,-2.9897
3180,3.8686,67.144,3,50.358,1.5017,-0.0021661,-2.9904
3240,3.867,67.016,3,50.262,1.5019,-0.0021313,-2.9911
3300,3.8655,66.889,3,50.166,1.5022,-0.0021016,-2.9917
3360,3.8639,66.763,3,50.072,1.5024,-0.0020761,-2.9924
3420,3.8623,66.639,3,49.98,1.5027,-0.0020544,-2.9931
3480,3.8607,66.517,3,49.888,1.503,-0.0020357,-2.9938
3540,3.8591,66.395,3,49.796,1.5033,-0.0020196,-2.9944
3600,3.8575,66.274,3,49.706,1.5036,-0.0020058,-2.9951
3660,3.8559,66.154,3,49.616,1.5039,-0.0019939,-2.9958
3720,3.8543,66.035,3,49.526,1.5042,-0.0019836,-2.9964
3780,3.8527,65.916,3,49.437,1.5045,-0.0019747,-2.9971
3840,3.8511,65.798,3,49.348,1.5048,-0.0019669,-2.9977
3900,3.85,65.681,3,49.261,1.5048,-0.0018721,-2.9983
3960,3.85,65.577,3,49.183,1.504,-0.0015825,-2.9985
4020,3.85,65.49,3,49.117,1.5034,-0.0013387,-2.9987
4080,3.85,65.416,3,49.062,1.5028,-0.0011323,-2.9989
4140,3.85,65.353,3,49.015,1.5024,-0.00095757,-2.999
4200,3.85,65.301,3,48.975,1.502,-0.00080983,-2.9992
4260,3.85,65.256,3,48.942,1.5017,-0.00068491,-2.9993
4320,3.85,65.218,3,48.914,1.5014,-0.00057923,-2.9994
4380,3.85,65.186,3,48.89,1.5012,-0.00048983,-2.9994
4440,3.85,65.159,3,48.869,1.501,-0.0004142,-2.9995
4500,3.85,65.136,3,48.852,1.5008,-0.00035023,-2.9995
4560,3.85,65.117,3,48.838,1.5007,-0.00029613,-2.9996
4620,3.85,65.1,3,48.825,1.5006,-0.00025037,-2.9996
4680,3.85,65.087,3,48.815,1.5005,-0.00021167,-2.9997
4740,3.85,65.075,3,48.806,1.5004,-0.00017895,-2.9997
4800,3.85,65.065,3,48.799,1.5003,-0.0001513,-2.9997
4860,3.85,65.057,3,48.793,1.5002,-0.00012791,-2.9997
4920,3.85,65.05,3,48.787,1.5002,-0.00010813,-2.9997
4980,3.85,65.044,3,48.783,1.5002,-9.1389e-05,-2.9998
5040,3.85,65.039,3,48.779,1.5001,-7.7226e-05,-2.9998
5100,3.85,65.034,3,48.776,1.5001,-6.526e-05,-2.9998
5160,3.85,65.031,3,48.773,1.5001,-5.513e-05,-2.9998
5220,3.85,65.028,3,48.771,1.5,-4.6595e-05,-2.9998
5280,3.85,65.025,3,48.769,1.5,-3.9367e-05,-2.9998
5340,3.85,65.023,3,48.767,1.5,-3.3285e-05,-2.9998
5400,3.85,65.021,3,48.766,1.5,-2.8133e-05,-2.9998
5460,3.85,65.02,3,48.765,1.5,-2.3791e-05,-2.9998
5520,3.85,65.018,3,48.764,1.5,-2.0111e-05,-2.9998
5580,3.85,65.017,3,48.763,1.5,-1.7005e-05,-2.9998
5640,3.85,65.016,3,48.762,1.5,-1.4371e-05,-2.9998
5700,3.85,65.015,3,48.762,1.4999,-1.2147e-05,-2.9998
5760,3.85,65.015,3,48.761,1.4999,-1.0254e-05,-2.9998
5820,3.85,65.014,3,48.761,1.4999,-8.6493e-06,-2.9998
5880,3.85,65.014,3,48.76,1.4999,-7.3082e-06,-2.9998
5940,3.8497,65.013,3,48.759,1.5002,-6.7727e-05,-2.9999
6000,3.8481,65,3,48.75,1.5012,-0.00035589,-3.0003
6060,3.8465,64.971,3,48.728,1.5022,-0.00059838,-3.0008
6120,3.8449,64.929,3,48.697,1.503,-0.0008036,-3.0013
6180,3.8433,64.875,3,48.657,1.5038,-0.00097708,-3.0018
6240,3.8417,64.812,3,48.609,1.5045,-0.0011237,-3.0023
6300,3.8401,64.741,3,48.556,1.5052,-0.0012475,-3.0029
6360,3.8385,64.663,3,48.497,1.5058,-0.0013521,-3.0034
6420,3.8369,64.579,3,48.434,1.5063,-0.0014404,-3.004
6480,3.8353,64.49,3,48.368,1.5069,-0.001515,-3.0046
6540,3.8337,64.397,3,48.298,1.5073,-0.0015779,-3.0052
6600,3.8321,64.301,3,48.226,1.5078,-0.001631,-3.0058
6660,3.8305,64.202,3,48.151,1.5083,-0.0016757,-3.0064
6720,3.8289,64.1,3,48.075,1.5087,-0.0017133,-3.0071
6780,3.8273,63.996,3,47.997,1.5091,-0.0017449,-3.0077
6840,3.8257,63.891,3,47.918,1.5095,-0.0017714,-3.0083
6900,3.8241,63.784,3,47.838,1.5099,-0.0017936,-3.009
6960,3.8225,63.676,3,47.757,1.5102,-0.0018122,-3.0096
7020,3.8209,63.566,3,47.675,1.5106,-0.0018277,-3.0102
7080,3.8193,63.456,3,47.592,1.511,-0.0018406,-3.0109
7140,3.8177,63.346,3,47.509,1.5113,-0.0018514,-3.0115
7200,3.8161,63.234,3,47.426,1.5117,-0.0018603,-3.0122
7260,3.8145,63.123,3,47.342,1.512,-0.0018676,-3.0128
7320,3.8129,63.01,3,47.258,1.5123,-0.0018735,-3.0134
7380,3.8113,62.898,3,47.173,1.5127,-0.0018784,-3.0141
7440,3.8097,62.785,3,47.089,1.513,-0.0018823,-3.0147
7500,3.8081,62.672,3,47.004,1.5133,-0.0018854,-3.0154
7560,3.8065,62.559,3,46.919,1.5137,-0.0018878,-3.016
7620,3.8049,62.445,3,46.834,1.514,-0.0018896,-3.0167
7680,3.8033,62.332,3,46.749,1.5143,-0.001891,-3.0173
7740,3.8017,62.218,3,46.664,1.5147,-0.0018919,-3.018
7800,3.8001,62.105,3,46.579,1.515,-0.0018923,-3.0186
7860,3.7984,61.991,3,46.493,1.5154,-0.0019117,-3.0193
7920,3.7967,61.876,3,46.407,1.5158,-0.0019287,-3.02
7980,3.795,61.759,3,46.32,1.5161,-0.0019427,-3.0206
8040,3.7933,61.642,3,46.232,1.5165,-0.0019544,-3.0213
8100,3.7915,61.525,3,46.144,1.5169,-0.001964,-3.022
8160,3.7898,61.407,3,46.055,1.5173,-0.0019719,-3.0227
8220,3.7881,61.288,3,45.966,1.5176,-0.0019783,-3.0234
8280,3.7864,61.169,3,45.877,1.518,-0.0019835,-3.024
8340,3.7847,61.05,3,45.788,1.5183,-0.0019877,-3.0247
8400,3.783,60.931,3,45.698,1.5187,-0.001991,-3.0254
8460,3.7813,60.811,3,45.609,1.519,-0.0019935,-3.0261
8520,3.7796,60.692,3,45.519,1.5194,-0.0019955,-3.0268
8580,3.7779,60.572,3,45.429,1.5197,-0.0019969,-3.0274
8640,3.7762,60.452,3,45.339,1.5201,-0.0019979,-3.0281
8700,3.7745,60.332,3,45.249,1.5204,-0.0019985,-3.0288
8760,3.7728,60.212,3,45.159,1.5207,-0.0019988,-3.0295
8820,3.7711,60.092,3,45.069,1.5211,-0.0019988,-3.0302
8880,3.7694,59.972,3,44.979,1.5214,-0.0019986,-3.0309
8940,3.7677,59.853,3,44.889,1.5218,-0.0019983,-3.0315
9000,3.7659,59.733,3,44.799,1.5221,-0.0019977,-3.0322
9060,3.7642,59.613,3,44.71,1.5224,-0.0019971,-3.0329
9120,3.7625,59.493,3,44.62,1.5228,-0.0019963,-3.0336
9180,3.7608,59.373,3,44.53,1.5231,-0.0019955,-3.0343
9240,3.7591,59.254,3,44.44,1.5235,-0.0019946,-3.0349
9300,3.7574,59.134,3,44.35,1.5238,-0.0019936,-3.0356
9360,3.7557,59.014,3,44.261,1.5241,-0.0019925,-3.0363
9420,3.754,58.895,3,44.171,1.5245,-0.0019915,-3.037
9480,3.7523,58.775,3,44.082,1.5248,-0.0019903,-3.0377
9540,3.7506,58.656,3,43.992,1.5251,-0.0019892,-3.0383
