time,glc,gly,lac,gly_vol,f_glc,f_gly,f_lac
0,9,357.14,4,250,-47.042,10.027,23.897
60,6.7626,358.35,1.385e-27,250.85,1.5708e-30,1.4069e-25,-9.8486e-25
120,6.7626,358.35,-5.2047e-27,250.85,-5.8567e-30,-5.2484e-25,3.6739e-24
180,6.7626,358.35,-5.8772e-27,250.85,-6.6128e-30,-5.9266e-25,4.1486e-24
240,6.7626,358.35,-6.5497e-27,250.85,-7.3687e-30,-6.6047e-25,4.6233e-24
300,6.7626,358.35,-7.2223e-27,250.85,-8.1244e-30,-7.2829e-25,5.0981e-24
360,6.7626,358.35,-6.6189e-27,250.85,-7.4451e-30,-6.6744e-25,4.6721e-24
420,6.7626,358.35,-5.0362e-27,250.85,-5.6648e-30,-5.0784e-25,3.5549e-24
480,6.7626,358.35,-3.4535e-27,250.85,-3.8845e-30,-3.4825e-25,2.4377e-24
540,6.7626,358.35,-1.8708e-27,250.85,-2.1042e-30,-1.8865e-25,1.3206e-24
600,6.7626,358.35,-1.035e-27,250.85,-1.1642e-30,-1.0437e-25,7.3061e-25
660,6.7626,358.35,-7.8792e-28,250.85,-8.8623e-31,-7.9454e-26,5.5618e-25
720,6.7626,358.35,-5.408e-28,250.85,-6.0828e-31,-5.4534e-26,3.8174e-25
780,6.7626,358.35,-2.9368e-28,250.85,-3.3032e-31,-2.9615e-26,2.073e-25
840,6.7626,358.35,-1.8463e-28,250.85,-2.0766e-31,-1.8618e-26,1.3033e-25
900,6.7626,358.35,-1.873e-28,250.85,-2.1066e-31,-1.8887e-26,1.3221e-25
960,6.7626,358.35,-1.8996e-28,250.85,-2.1366e-31,-1.9156e-26,1.3409e-25
1020,6.7626,358.35,-1.9263e-28,250.85,-2.1666e-31,-1.9424e-26,1.3597e-25
1080,6.7626,358.35,-1.9529e-28,250.85,-2.1966e-31,-1.9693e-26,1.3785e-25
1140,6.7626,358.35,-1.9796e-28,250.85,-2.2265e-31,-1.9962e-26,1.3973e-25
1200,6.7626,358.35,-2.0062e-28,250.85,-2.2565e-31,-2.0231e-26,1.4161e-25
1260,6.7626,358.35,-2.0329e-28,250.85,-2.2865e-31,-2.0499e-26,1.435e-25
1320,6.7626,358.35,-2.0595e-28,250.85,-2.3165e-31,-2.0768e-26,1.4538e-25
1380,6.7626,358.35,-2.0862e-28,250.85,-2.3464e-31,-2.1037e-26,1.4726e-25
1440,6.7626,358.35,-2.1128e-28,250.85,-2.3764e-31,-2.1306e-26,1.4914e-25
1500,6.7626,358.35,-2.1395e-28,250.85,-2.4064e-31,-2.1574e-26,1.5102e-25
1560,6.7626,358.35,-2.1661e-28,250.85,-2.4364e-31,-2.1843e-26,1.529e-25
1620,6.7626,358.35,-2.1928e-28,250.85,-2.4663e-31,-2.2112e-26,1.5478e-25
1680,6.7626,358.35,-2.2194e-28,250.85,-2.4963e-31,-2.2381e-26,1.5667e-25
